horizon_step,mse,mae,r2
1,153.4513397216797,9.230663299560547,0.9526636004447937
2,232.78936767578125,11.017892837524414,0.9281895160675049
3,334.790771484375,13.341919898986816,0.8967243432998657
4,447.4404296875,15.369251251220703,0.8619743585586548
5,570.4097290039062,17.462635040283203,0.8240402936935425
6,691.1378173828125,19.41673469543457,0.7867974042892456
7,822.5682983398438,21.467233657836914,0.746253490447998
8,942.0408935546875,23.3016300201416,0.7093983888626099
9,1067.43701171875,25.07172966003418,0.6707160472869873
10,1200.330322265625,26.92302894592285,0.62972092628479
11,1338.557861328125,28.734962463378906,0.5870803594589233
12,1467.1309814453125,30.315237045288086,0.5474179983139038
