horizon_step,mse,mae,r2
1,32.639244079589844,3.7030320167541504,0.950190544128418
2,57.55772399902344,4.830880641937256,0.9121619462966919
3,82.40965270996094,5.802987575531006,0.8742297887802124
4,105.56816101074219,6.744198799133301,0.8388766050338745
5,127.97434997558594,7.626948833465576,0.8046672940254211
6,147.0355224609375,8.193355560302734,0.7755622267723083
7,163.64578247070312,8.637554168701172,0.7501999735832214
8,180.15011596679688,9.262714385986328,0.7250008583068848
9,195.69065856933594,9.797218322753906,0.7012840509414673
10,210.42919921875,10.294095993041992,0.6787782907485962
11,224.3438262939453,10.749909400939941,0.6575182676315308
12,237.13137817382812,11.166757583618164,0.6379780769348145
13,248.53189086914062,11.551445960998535,0.6205613613128662
14,258.329833984375,11.832786560058594,0.6055949926376343
15,266.91876220703125,12.001744270324707,0.592469334602356
16,274.0598449707031,12.098915100097656,0.5815466642379761
