site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,checkpoint_selection,mse,rmse,mae,r2,train_time
Wind farm site 4 (Nominal capacity-66MW),LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,41.040035247802734,6.406249702267524,3.8664982318878174,0.9064335227012634,48.63565135002136
Wind farm site 4 (Nominal capacity-66MW),CNN_LSTM,96,6,64,0.001,64,2,20,0.2,last_epoch,30.924381256103516,5.5609694529014915,3.500166416168213,0.9294959902763367,66.01074528694153
Wind farm site 4 (Nominal capacity-66MW),CNN,96,6,64,0.001,64,2,20,0.2,last_epoch,29.23423194885254,5.406868959837342,3.5110456943511963,0.9333493709564209,42.00742530822754
