horizon_step,mse,mae,r2
1,141.27635192871094,8.158553123474121,0.9564193487167358
2,225.19580078125,10.30367374420166,0.9305319786071777
3,324.6799011230469,12.457134246826172,0.8998433351516724
4,431.9723205566406,14.331043243408203,0.8667458891868591
5,539.2118530273438,16.266061782836914,0.8336641788482666
6,646.754638671875,17.911224365234375,0.8004887700080872
7,756.8236694335938,19.524118423461914,0.7665343880653381
8,863.0452880859375,21.15126609802246,0.733767032623291
9,960.143798828125,22.584671020507812,0.703813910484314
10,1059.8448486328125,24.218873977661133,0.673058032989502
11,1155.422607421875,25.692094802856445,0.6435741186141968
12,1244.945556640625,26.97173309326172,0.6159579753875732
