horizon_step,mse,mae,r2
1,228.3009033203125,10.77425765991211,0.9295741319656372
2,301.9449768066406,12.138907432556152,0.9068565368652344
3,391.6885681152344,13.7288236618042,0.8791726231575012
4,486.286376953125,15.069170951843262,0.8499912023544312
5,588.0498046875,16.41704559326172,0.8185986280441284
6,692.5820922851562,17.773391723632812,0.7863519191741943
7,794.9188842773438,19.0972957611084,0.7547827959060669
8,896.6930541992188,20.30602264404297,0.7233873605728149
9,981.8153076171875,21.46285629272461,0.6971286535263062
10,1064.4071044921875,22.565366744995117,0.6716506481170654
11,1144.4830322265625,23.782878875732422,0.6469488143920898
12,1226.5098876953125,24.908851623535156,0.6216450929641724
