horizon_step,mse,mae,r2
1,20.178478240966797,3.3739895820617676,0.9444416761398315
2,28.4466495513916,3.797208547592163,0.9217193722724915
3,37.479915618896484,4.244240760803223,0.8969128727912903
4,46.78532409667969,4.690380096435547,0.8713955283164978
5,56.473243713378906,5.09494161605835,0.8448625802993774
6,65.78510284423828,5.44950008392334,0.8193765878677368
7,75.22959899902344,5.834731101989746,0.7935359477996826
8,84.80158996582031,6.211241722106934,0.7673674821853638
9,93.8486328125,6.59377384185791,0.7426654100418091
10,102.46785736083984,6.936046123504639,0.7191885113716125
11,110.76031494140625,7.23600959777832,0.6966023445129395
12,118.96832275390625,7.573477268218994,0.6742886304855347
