site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,checkpoint_selection,mse,rmse,mae,r2,train_time
Wind farm site 5 (Nominal capacity-36MW),LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,8.829132080078125,2.971385548877514,1.7776352167129517,0.850928783416748,48.54520130157471
Wind farm site 5 (Nominal capacity-36MW),CNN_LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,3.930058717727661,1.9824375696923373,1.2972545623779297,0.9336448311805725,65.75999736785889
Wind farm site 5 (Nominal capacity-36MW),CNN,96,3,64,0.001,64,2,20,0.2,last_epoch,4.718903064727783,2.17230363087847,1.4831424951553345,0.9203259348869324,42.1358745098114
