horizon_step,mse,mae,r2
1,45.22428512573242,4.848662376403809,0.9309605956077576
2,74.31161499023438,6.192516326904297,0.8865526914596558
3,101.84637451171875,7.188502788543701,0.844513475894928
4,128.80181884765625,8.077868461608887,0.8033536672592163
5,151.45509338378906,8.749279022216797,0.7687684297561646
6,173.77761840820312,9.428512573242188,0.7346788644790649
7,194.90956115722656,9.994139671325684,0.7023977637290955
8,216.73390197753906,10.708252906799316,0.6690627336502075
9,233.72393798828125,11.173067092895508,0.6431148052215576
10,248.0987548828125,11.596213340759277,0.6211602687835693
11,262.05242919921875,12.024332046508789,0.5998417735099792
12,278.5191955566406,12.466546058654785,0.5746758580207825
