horizon_step,mse,mae,r2
1,14.038236618041992,2.478872299194336,0.968003511428833
2,18.71329689025879,2.751288890838623,0.9573460817337036
3,24.017650604248047,3.0585975646972656,0.9452533721923828
4,29.46865463256836,3.356161117553711,0.9328258037567139
5,35.5814094543457,3.69275164604187,0.9188896417617798
6,40.67888259887695,3.9120874404907227,0.9072684049606323
7,46.03727722167969,4.138064384460449,0.895052433013916
8,51.74953079223633,4.394827842712402,0.8820300102233887
9,56.9732666015625,4.668585300445557,0.8701221346855164
10,63.01063919067383,5.013320446014404,0.8563593029975891
11,69.23558807373047,5.264664649963379,0.8421671986579895
12,75.73672485351562,5.437168121337891,0.8273447751998901
