site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,checkpoint_selection,mse,rmse,mae,r2,train_time
Wind farm site 6 (Nominal capacity-96MW),LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,16.364105224609375,4.045257127131646,2.7165377140045166,0.9833987951278687,49.03385376930237
Wind farm site 6 (Nominal capacity-96MW),CNN_LSTM,96,2,64,0.001,64,2,20,0.2,last_epoch,18.290536880493164,4.276743723967239,2.9708645343780518,0.9814444780349731,64.8250675201416
Wind farm site 6 (Nominal capacity-96MW),CNN,96,2,64,0.001,64,2,20,0.2,last_epoch,19.498260498046875,4.415683468960029,3.0731253623962402,0.9802192449569702,41.546029567718506
