horizon_step,mse,mae,r2
1,37.9926643371582,4.035659313201904,0.9420208930969238
2,61.69266128540039,5.117090702056885,0.9058516621589661
3,87.05043029785156,6.068552494049072,0.8671472072601318
4,110.71482849121094,6.972883701324463,0.8310214877128601
5,133.12965393066406,7.674323081970215,0.7967985272407532
6,151.22911071777344,8.187057495117188,0.7691610455513
7,168.0958709716797,8.638762474060059,0.743407130241394
8,182.34420776367188,9.06800365447998,0.721651554107666
9,195.9199676513672,9.44869327545166,0.7009340524673462
10,208.90805053710938,9.768647193908691,0.6811003088951111
11,220.94992065429688,10.173107147216797,0.6626994013786316
12,232.0670166015625,10.534727096557617,0.6457096934318542
13,243.43310546875,10.804969787597656,0.6283457279205322
14,254.89036560058594,11.317219734191895,0.610846221446991
15,265.53448486328125,11.61139965057373,0.5945828557014465
16,277.65673828125,11.931414604187012,0.5760546326637268
