site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,checkpoint_selection,mse,rmse,mae,r2,train_time
Wind farm site 3 (Nominal capacity-99MW),LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,28.656049728393555,5.353134570360954,3.1956965923309326,0.9214792847633362,48.368314266204834
Wind farm site 3 (Nominal capacity-99MW),CNN_LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,21.45208168029785,4.6316392001426285,2.7863340377807617,0.941218912601471,64.99840569496155
Wind farm site 3 (Nominal capacity-99MW),CNN,96,3,64,0.001,64,2,20,0.2,last_epoch,22.29199981689453,4.721440438774435,2.9737484455108643,0.9389174580574036,42.251853942871094
