site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,checkpoint_selection,mse,rmse,mae,r2,train_time,site_id
Wind farm site 1 (Nominal capacity-99MW),LR,96,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.89236068725586,6.920430672093743,4.122015476226807,0.9268401861190796,11.843584060668945,1
Wind farm site 2 (Nominal capacity-200MW),LR,96,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,178.39230346679688,13.356358166311537,8.195596694946289,0.9450528621673584,27.13034725189209,2
Wind farm site 3 (Nominal capacity-99MW),LR,96,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.792600631713867,4.559890418827394,2.893160820007324,0.9428871273994446,16.169350624084473,3
Wind farm site 4 (Nominal capacity-66MW),LR,96,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.678364753723145,3.2677767294787974,2.0980138778686523,0.9756304025650024,13.960904598236084,4
Wind farm site 5 (Nominal capacity-36MW),LR,96,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.4535255432128906,1.5663733728625786,0.9684498310089111,0.9585987329483032,13.390754699707031,5
Wind farm site 6 (Nominal capacity-96MW),LR,96,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.71486473083496,4.440142422359328,3.1020967960357666,0.9798551201820374,14.98363709449768,6
