site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,checkpoint_selection,mse,rmse,mae,r2,train_time
Wind farm site 1 (Nominal capacity-99MW),LR,96,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.034456253051758,4.362849556545785,2.6197338104248047,0.9709193706512451,11.364319801330566
Wind farm site 1 (Nominal capacity-99MW),LR,96,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.498558044433594,5.787793884066155,3.4351234436035156,0.9488248229026794,11.354842901229858
Wind farm site 1 (Nominal capacity-99MW),LR,96,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.89236068725586,6.920430672093743,4.122015476226807,0.9268401861190796,11.843584060668945
Wind farm site 1 (Nominal capacity-99MW),LR,96,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.8165397644043,7.862349506629955,4.724155902862549,0.9055747985839844,11.466949224472046
Wind farm site 1 (Nominal capacity-99MW),LR,96,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.11032104492188,8.666621085805117,5.254046440124512,0.885274350643158,11.60235857963562
Wind farm site 1 (Nominal capacity-99MW),LR,96,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.63264465332031,9.361230936865104,5.726573467254639,0.866154670715332,13.86256194114685
