horizon_step,mse,mae,r2
1,57.994384765625,5.819097995758057,0.8403213024139404
2,68.39378356933594,6.335170269012451,0.8117912411689758
3,79.26509857177734,6.77098274230957,0.781984269618988
4,90.65357971191406,7.247910976409912,0.7508095502853394
5,103.6592788696289,7.671233654022217,0.7152379751205444
6,113.43443298339844,8.101764678955078,0.6885477900505066
7,123.95771026611328,8.459227561950684,0.6598040461540222
8,136.39801025390625,8.91128158569336,0.6258252263069153
9,145.56849670410156,9.171438217163086,0.6008486151695251
10,158.4156951904297,9.633530616760254,0.5658643841743469
11,165.61190795898438,9.933619499206543,0.5463513731956482
12,176.6650848388672,10.208047866821289,0.5163264274597168
