horizon_step,mse,rmse,mae,r2
1,2.567748546600342,1.6024195913057047,1.1294323205947876,0.9566465020179749
2,4.712839603424072,2.1709075529427944,1.4929596185684204,0.9204278588294983
3,6.8761210441589355,2.622235886444798,1.8270351886749268,0.8839030265808105
