horizon_step,mse,mae,r2
1,11.859312057495117,2.125089168548584,0.7999054789543152
2,12.778462409973145,2.2544515132904053,0.7844002842903137
3,14.064699172973633,2.488823652267456,0.7627060413360596
4,15.21081829071045,2.6323556900024414,0.7433773279190063
5,16.54144859313965,2.841951370239258,0.7209298610687256
6,17.727588653564453,2.999772310256958,0.7009181976318359
7,18.88324546813965,3.1186108589172363,0.6814199090003967
8,20.12648582458496,3.212836503982544,0.6604417562484741
9,21.268796920776367,3.3237082958221436,0.6411646604537964
10,22.62613868713379,3.4430384635925293,0.6182541847229004
11,23.542774200439453,3.5010619163513184,0.6027786731719971
12,24.624244689941406,3.625138998031616,0.5845264196395874
