horizon_step,mse,rmse,mae,r2
1,19.974666595458984,4.4693026967815666,2.8522796630859375,0.9694875478744507
2,52.522518157958984,7.247242107033474,4.567749977111816,0.9197677969932556
3,84.47129821777344,9.190826851691497,5.863006114959717,0.8709587454795837
