horizon_step,mse,mae,r2
1,24.974609375,3.6278319358825684,0.9430768489837646
2,30.799240112304688,3.9547505378723145,0.9297981858253479
3,35.50156784057617,4.256401538848877,0.9190765619277954
4,46.777137756347656,4.820774078369141,0.8933708667755127
5,53.71613311767578,5.12495756149292,0.8775502443313599
6,62.771644592285156,5.545200347900391,0.8569057583808899
7,79.92767333984375,6.26125955581665,0.8177951574325562
8,81.00430297851562,6.280400276184082,0.8153398036956787
9,90.92021942138672,6.687251091003418,0.7927356958389282
10,101.49248504638672,7.084442615509033,0.7686350345611572
11,126.82429504394531,7.92843770980835,0.7108851671218872
12,131.81687927246094,8.110089302062988,0.6995001435279846
