horizon_step,mse,mae,r2
1,16.981515884399414,2.677260637283325,0.9532439708709717
2,27.2341251373291,3.432375431060791,0.9250560402870178
3,37.18022537231445,4.165468692779541,0.8977371454238892
4,47.21049118041992,4.656020164489746,0.8702268004417419
5,58.30602264404297,5.26059103012085,0.8398277759552002
6,68.97164916992188,5.839208126068115,0.8106274008750916
7,79.28279876708984,6.334974765777588,0.7824121713638306
8,89.3519058227539,6.740179538726807,0.7548847794532776
9,98.58451080322266,7.074375629425049,0.729679524898529
10,109.69474792480469,7.5903000831604,0.6993833780288696
11,119.34053039550781,8.0548734664917,0.673099160194397
12,129.8025360107422,8.56808090209961,0.6446266770362854
