horizon_step,mse,rmse,mae,r2
1,4.608459949493408,2.1467323888862833,1.2816659212112427,0.9221914410591125
2,9.458057403564453,3.0753954873421487,1.8612496852874756,0.8403090238571167
3,12.420878410339355,3.5243266605607597,2.1899900436401367,0.7902849316596985
