horizon_step,mse,mae,r2
1,29.639692306518555,3.4833779335021973,0.9547520279884338
2,56.57474136352539,4.682582855224609,0.9136305451393127
3,82.60013580322266,5.569762229919434,0.8738963007926941
4,106.89771270751953,6.377460479736328,0.836795449256897
5,129.70285034179688,7.099438667297363,0.8019782900810242
6,149.92005920410156,7.742494106292725,0.7711042165756226
7,167.19219970703125,8.318656921386719,0.7447186708450317
8,183.78512573242188,8.811358451843262,0.7193731665611267
9,199.9883575439453,9.236401557922363,0.6946274042129517
10,213.9407501220703,9.713032722473145,0.6733185648918152
11,227.67611694335938,10.131853103637695,0.6523349285125732
12,241.2826690673828,10.49002456665039,0.6315394639968872
